1 , 55.737704918 2717.0
2 , 63.9344262295 2219.5
4 , 63.9344262295 2219.5
8 , 80.3278688525 1224.5
16 , 81.9672131148 1125.0
32 , 81.9672131148 1125.0
64 , 81.9672131148 1125.0
128 , 81.9672131148 1125.0
1 , 46.1538461538 3515.0
2 , 52.3076923077 3117.0
4 , 75.3846153846 1624.5
8 , 80.0 1326.0
16 , 81.5384615385 1226.5
32 , 81.5384615385 1226.5
64 , 81.5384615385 1226.5
128 , 81.5384615385 1226.5
